order_id,product_id,count
1,40,6
1,74,4
1,28,9
1,96,7
1,67,5
1,69,2
1,46,9
1,85,9
1,45,5
1,26,5
1,59,1
1,32,7
1,11,8
1,10,10
1,63,1
1,84,8
1,6,4
1,37,4
1,79,3
2,24,9
2,16,2
3,3,9
4,23,7
4,2,2
4,89,1
4,7,10
4,98,9
4,16,7
5,46,8
5,84,8
6,62,10
6,22,4
6,94,5
6,83,1
6,16,2
6,49,6
6,42,5
6,21,8
6,64,9
6,12,10
6,92,4
6,97,8
6,70,7
6,31,1
6,29,5
6,11,1
6,55,8
6,59,8
7,8,6
7,16,4
7,91,4
7,97,10
7,77,10
7,39,6
7,98,9
7,60,10
7,79,5
7,65,9
7,100,2
7,23,9
7,7,1
8,74,4
8,32,10
8,6,1
8,92,7
8,46,10
8,85,2
8,103,3
8,100,10
8,3,8
9,62,6
9,49,2
9,63,7
9,96,1
9,52,6
9,60,4
9,5,5
9,38,8
9,76,3
9,54,5
9,89,1
9,44,10
9,14,4
9,56,6
9,9,4
9,40,9
9,81,2
9,31,9
9,88,9
9,55,6
10,41,9
11,10,1
11,33,7
11,85,4
11,102,9
11,18,10
11,61,8
11,15,9
11,35,7
11,22,6
11,39,2
11,26,6
11,91,4
11,11,7
11,56,4
11,34,6
11,54,3
12,57,6
12,65,3
12,25,7
12,70,10
12,23,7
12,66,4
12,46,3
12,92,2
12,15,3
12,75,3
12,63,2
12,52,10
13,32,3
13,43,3
13,69,8
13,31,2
13,9,9
13,77,3
13,26,2
13,37,4
13,40,7
14,6,9
14,57,10
14,2,4
14,83,5
14,67,1
14,34,1
14,19,8
14,66,7
15,98,6
15,8,3
15,88,9
16,56,5
16,49,1
16,78,4
16,54,2
16,27,8
16,51,9
16,92,9
17,65,7
17,33,7
17,18,1
17,71,4
18,47,1
18,71,4
18,12,7
18,36,2
18,95,7
18,41,5
18,104,2
18,57,3
18,40,1
18,90,8
18,96,9
18,55,8
18,65,8
18,91,6
18,102,2
18,79,6
18,27,1
19,77,4
19,9,4
20,8,7
20,46,10
20,100,1
20,37,8
20,84,1
21,78,2
21,17,6
21,81,5
21,76,5
21,3,6
21,58,3
21,27,8
22,42,10
22,71,4
22,67,9
22,98,2
22,103,1
22,40,9
22,48,3
22,43,8
23,56,4
23,31,3
23,17,6
23,69,9
23,104,9
23,3,9
23,48,2
23,47,3
23,87,5
23,70,2
23,11,9
23,94,10
23,100,10
23,16,7
23,71,7
23,63,1
23,10,4
24,38,9
24,93,5
24,87,4
24,70,10
24,39,6
24,13,3
24,7,8
24,26,10
24,102,5
24,60,2
24,30,2
24,94,4
25,51,2
25,72,7
25,78,9
25,93,2
25,100,1
25,33,10
25,40,4
25,35,10
25,101,9
25,103,1
25,19,7
25,49,10
25,92,7
25,79,3
25,87,5
25,63,7
25,36,8
25,12,9
25,74,3
25,94,7
26,83,7
26,90,4
26,38,6
26,4,1
26,95,8
26,22,9
26,3,8
26,27,1
26,19,8
27,92,9
27,52,5
27,30,3
27,53,9
27,32,6
27,84,3
27,91,9
28,71,7
28,102,4
28,58,10
28,48,3
28,72,3
28,79,10
28,26,9
28,16,4
28,18,6
28,65,10
28,14,3
28,88,5
28,63,10
28,94,6
29,44,4
29,78,2
29,24,5
29,11,2
29,17,1
29,76,7
29,96,1
29,37,4
29,66,10
29,60,9
29,41,2
30,71,1
30,30,10
30,58,6
30,32,7
30,31,9
30,42,10
31,94,10
31,34,6
31,11,5
31,77,1
31,67,1
31,48,10
31,88,9
31,92,6
31,65,4
32,14,7
32,95,8
32,8,6
32,100,9
32,16,6
32,55,7
32,32,4
33,11,7
33,57,2
33,34,4
33,101,8
33,73,2
33,36,4
33,60,6
33,86,6
33,55,9
33,48,6
33,32,5
33,72,10
34,36,6
34,10,9
34,29,1
34,18,10
34,86,9
34,104,10
34,26,1
34,30,10
34,64,7
34,24,7
34,70,2
34,50,4
34,43,7
34,20,5
34,9,4
35,8,4
36,70,1
36,23,10
36,35,10
36,56,7
36,25,10
36,91,9
36,60,9
37,54,7
37,38,1
37,33,1
37,4,7
37,85,8
37,88,10
37,63,7
37,87,3
37,29,10
37,91,3
37,30,9
37,70,9
37,62,8
37,50,4
37,43,1
37,37,9
38,67,7
38,17,7
38,47,5
38,98,2
38,36,6
38,100,1
38,72,4
38,29,2
38,31,1
38,44,10
38,53,10
38,7,3
39,98,7
39,32,7
39,5,7
39,71,8
39,46,10
39,26,3
39,9,3
39,86,3
39,83,8
39,18,10
39,85,5
39,55,9
39,82,2
40,69,2
40,80,4
40,24,5
40,46,4
40,39,9
41,64,1
41,12,3
41,9,7
41,20,2
41,14,7
41,78,5
41,1,9
41,104,3
41,54,2
41,26,9
41,50,4
41,93,5
41,46,4
41,96,1
41,4,9
42,30,10
42,28,4
42,17,3
42,5,9
42,49,5
42,3,2
42,55,1
42,80,4
42,72,2
42,29,7
42,44,8
42,32,5
42,7,2
42,6,2
42,2,8
42,90,5
42,15,8
42,82,1
42,18,7
42,25,5
43,40,3
43,81,10
44,58,5
44,102,1
44,9,7
44,101,8
44,35,10
44,40,9
44,31,3
44,14,7
44,79,6
44,5,6
44,97,6
44,65,1
45,20,3
45,73,9
45,70,1
45,38,2
45,36,6
45,7,7
45,23,3
45,64,10
45,12,2
45,99,3
45,14,9
45,34,2
46,14,7
46,73,9
46,35,5
46,40,5
46,104,9
46,24,5
46,9,5
46,36,10
46,87,4
47,93,1
47,3,1
47,94,3
47,92,4
47,30,3
47,20,1
47,66,7
47,7,1
47,103,10
47,65,4
47,91,4
47,24,7
47,6,4
48,91,3
48,69,9
48,15,6
48,23,6
48,34,1
48,102,6
48,3,1
48,27,5
48,13,2
48,70,9
48,5,4
48,50,9
48,94,5
48,84,3
48,100,5
48,4,10
48,52,1
49,39,5
49,96,7
49,18,7
49,45,9
49,76,10
49,97,1
49,31,3
49,88,4
49,98,3
49,61,6
49,80,2
49,23,1
49,17,6
49,30,9
49,89,10
49,52,8
49,11,3
50,41,9
50,3,9
50,88,2
50,64,9
50,96,10
50,15,5
50,11,5
50,81,8
50,59,5
50,29,3
50,13,10
50,57,3
50,78,7
50,104,9
50,102,10
50,60,6
50,79,3
50,66,3
50,7,10
50,72,2
51,88,2
51,20,6
51,95,1
51,27,7
51,83,9
51,4,8
51,99,1
52,81,6
52,93,5
52,12,4
52,44,5
52,45,2
52,100,10
53,87,9
53,56,8
53,29,9
53,99,8
53,102,3
53,81,1
53,64,8
53,2,8
53,94,5
53,45,2
53,43,7
53,73,2
53,90,8
53,31,5
53,12,3
53,97,5
54,77,2
54,66,1
54,96,4
54,95,4
54,84,10
54,22,1
54,37,4
54,28,1
54,4,9
54,19,6
54,60,6
54,40,6
54,25,7
54,70,6
54,88,5
54,6,10
54,38,5
54,35,1
54,87,10
55,45,2
55,88,10
55,70,4
55,83,2
55,46,4
55,102,8
55,42,7
55,74,6
55,24,3
56,94,5
56,47,8
56,40,7
56,95,4
56,100,8
56,104,10
56,7,5
56,64,7
57,7,9
57,40,4
57,70,7
57,16,10
57,21,5
57,67,10
57,76,6
57,94,10
57,98,1
57,84,1
57,43,6
57,22,5
57,93,3
57,48,3
57,36,4
57,29,7
57,25,2
58,90,1
58,65,10
58,86,4
58,35,2
58,87,2
58,40,5
58,100,2
58,15,1
59,5,1
59,76,2
59,85,3
59,50,3
59,26,6
59,56,3
59,94,6
59,15,9
59,28,2
60,80,10
61,9,4
61,39,10
61,13,7
61,18,6
61,32,5
61,48,6
62,45,8
62,50,9
62,19,3
62,60,7
62,37,6
62,95,6
62,27,2
62,33,4
62,32,7
62,76,1
62,46,8
62,36,2
62,35,9
62,41,6
62,10,4
62,30,4
62,75,5
63,99,2
63,30,10
63,100,9
63,58,2
63,39,9
63,2,10
63,85,5
63,38,8
63,29,10
64,39,4
64,45,10
64,25,5
64,99,6
64,31,1
64,66,8
64,103,6
64,11,3
64,81,10
64,32,6
64,44,1
64,58,1
64,61,7
64,82,9
64,91,5
64,21,2
64,96,6
64,69,7
64,78,10
64,35,8
65,34,2
65,37,6
65,13,9
65,6,6
65,10,7
65,12,10
65,65,2
66,47,1
66,5,8
66,32,5
66,70,9
66,4,9
66,71,5
66,37,7
66,6,7
66,66,3
66,9,9
66,100,9
66,8,5
66,18,3
66,93,1
66,58,2
66,3,9
66,13,4
66,72,7
66,59,10
66,44,1
67,74,2
67,26,4
67,76,9
68,78,7
68,70,4
68,102,8
68,52,2
68,30,3
68,31,6
68,60,7
68,56,3
68,9,10
68,77,5
68,66,1
68,71,10
68,84,7
68,16,4
68,6,8
69,72,9
69,88,6
69,87,4
69,10,9
69,63,5
69,5,9
69,53,9
69,32,8
69,101,2
69,96,6
69,24,7
69,83,9
69,65,9
70,72,9
70,103,2
70,27,10
70,78,7
70,44,4
70,9,7
70,82,4
70,104,1
70,23,1
70,65,7
70,45,8
70,40,5
70,19,3
71,72,9
71,31,9
71,87,4
71,23,1
71,56,5
71,51,7
71,22,2
71,65,9
71,27,10
71,37,5
71,59,10
71,47,7
71,52,8
71,46,4
72,76,1
72,65,5
72,13,4
72,48,3
72,80,10
72,96,10
72,32,7
72,75,9
72,93,5
72,100,2
72,42,9
72,50,2
72,41,8
72,26,6
73,14,10
73,33,2
73,72,7
73,6,1
73,87,7
73,96,9
73,35,5
73,51,10
73,85,10
73,100,2
73,99,3
73,38,10
73,84,5
73,39,8
73,7,5
73,25,10
73,76,8
74,103,8
74,34,6
74,46,9
74,98,8
74,82,4
74,85,3
74,78,4
74,70,9
74,100,4
74,15,3
74,5,4
74,47,5
74,79,3
74,33,9
74,97,2
74,9,8
75,13,7
75,18,3
75,5,1
75,99,8
75,38,5
75,17,5
75,32,5
75,59,2
75,9,8
75,51,8
75,84,10
75,20,6
75,93,10
75,81,1
75,100,7
75,49,1
75,39,1
75,75,8
75,69,5
75,87,3
76,50,3
76,62,10
76,21,7
76,90,6
77,60,1
77,74,2
77,52,3
77,57,3
77,64,2
77,54,3
77,28,6
77,81,3
77,86,8
77,14,8
77,25,8
77,31,8
77,71,7
77,96,9
77,51,10
77,66,8
77,93,9
78,70,1
78,38,1
78,89,1
78,9,5
78,22,10
78,98,5
78,44,1
78,40,4
78,27,10
78,77,1
78,84,6
78,93,5
78,63,7
79,66,1
79,9,4
79,54,6
79,104,1
79,57,7
79,14,8
79,56,2
79,89,4
79,28,1
79,52,1
79,76,8
79,101,10
79,21,5
79,23,4
79,8,10
79,40,1
79,96,9
79,79,6
79,88,2
80,75,5
80,50,4
80,3,3
80,93,6
80,39,10
80,66,10
80,30,3
80,83,6
80,29,1
80,34,5
80,47,4
81,53,3
81,9,4
81,100,1
81,3,6
81,62,5
81,25,1
81,55,6
81,54,4
81,32,4
81,58,3
81,94,8
81,7,1
82,60,2
82,31,5
82,11,6
82,102,4
82,43,3
82,34,4
82,33,5
82,42,8
83,73,7
83,93,6
84,94,9
84,56,9
84,18,3
84,95,2
85,32,1
85,30,9
85,41,8
85,14,1
85,19,7
85,51,10
85,76,9
85,80,1
85,47,4
85,92,2
85,28,1
85,79,6
85,36,8
85,101,1
85,1,6
85,16,6
85,54,10
85,94,10
85,17,5
85,6,5
86,32,6
87,14,9
87,48,7
87,26,9
87,33,3
88,40,2
88,98,4
89,42,9
89,49,8
89,55,2
89,51,3
89,14,1
89,32,8
89,44,6
89,30,5
89,77,8
89,88,5
89,82,1
89,71,9
89,21,1
89,40,1
89,4,10
89,52,1
89,83,5
90,92,4
90,48,8
90,39,8
90,38,4
90,34,5
90,51,10
90,67,10
90,70,9
90,71,3
90,69,8
90,29,1
90,60,2
90,33,9
90,46,2
90,64,8
90,22,7
90,75,7
90,12,6
90,25,6
91,2,1
91,24,5
91,100,6
91,4,7
92,67,10
92,27,10
92,47,9
92,51,10
92,39,1
92,45,10
92,80,1
92,28,3
93,92,5
93,11,8
93,39,3
93,28,5
93,12,7
93,56,4
93,55,10
93,81,8
93,30,9
93,37,1
93,84,3
93,41,6
93,8,7
93,64,10
93,93,3
93,71,10
93,6,2
93,36,4
93,97,2
94,6,1
94,34,7
94,92,3
94,26,3
94,95,4
94,66,4
94,31,2
94,15,7
94,72,9
95,8,6
95,68,8
95,29,3
95,14,10
95,73,7
95,5,7
95,24,2
95,84,4
95,79,4
95,31,6
95,85,9
95,1,1
95,71,6
95,17,2
95,19,3
96,52,2
96,64,5
96,72,8
96,24,4
96,12,5
96,99,5
96,76,10
96,20,9
96,56,1
96,51,8
96,4,8
96,19,3
96,65,4
96,96,10
96,13,8
97,13,5
97,87,10
97,12,1
97,22,2
97,98,4
97,95,2
97,17,2
97,1,2
97,94,7
97,29,8
98,46,1
98,79,5
98,20,6
98,95,5
98,6,3
98,78,2
98,50,4
98,53,1
99,60,10
99,100,5
99,8,4
99,57,6
100,77,9
100,86,7
101,15,4
101,93,7
101,103,9
101,7,8
101,6,6
101,87,5
101,18,9
101,23,1
101,37,1
101,1,5
101,101,10
102,92,9
102,87,5
102,97,3
102,78,8
102,11,7
103,97,7
103,95,4
103,42,2
103,26,2
103,84,8
103,61,10
103,23,6
103,7,3
103,80,5
103,43,1
103,16,3
103,21,7
103,73,5
103,57,8
103,81,8
103,50,1
103,54,4
104,53,6
104,82,8
104,7,8
104,103,2
104,36,7
105,43,5
106,103,8
106,26,3
106,9,7
106,15,2
106,17,4
106,35,3
106,41,1
106,63,1
106,95,9
106,5,10
106,75,1
106,19,10
106,84,10
106,55,9
107,59,5
107,2,2
107,40,6
107,72,7
107,79,8
107,104,8
107,22,4
107,37,10
107,42,1
107,3,8
107,39,7
107,24,4
108,48,8
108,101,3
108,9,3
108,24,8
108,43,7
108,80,2
108,66,4
108,41,3
108,50,4
109,33,9
109,99,3
109,37,5
109,78,10
109,104,3
109,82,1
110,25,9
110,92,6
110,13,10
110,81,8
110,56,1
110,46,5
110,102,1
110,37,2
110,82,10
110,83,10
110,73,2
110,48,10
110,19,9
110,76,9
110,52,6
110,97,2
110,11,8
111,72,5
111,7,5
111,15,5
111,50,1
111,73,2
112,75,7
112,17,3
112,44,3
112,82,3
112,67,3
112,99,8
112,85,7
112,1,5
112,69,8
112,103,6
112,10,7
112,8,8
112,22,8
112,78,4
112,94,2
112,77,1
112,12,7
112,3,6
112,45,5
112,13,6
113,74,4
113,57,1
113,27,1
113,82,2
113,86,2
114,7,4
114,34,4
114,41,3
114,82,6
114,65,6
114,90,5
114,97,3
114,83,7
114,25,5
114,23,3
114,52,4
114,79,9
114,32,2
114,72,7
115,49,9
115,54,6
115,6,9
115,61,4
115,74,8
115,43,1
115,86,4
115,55,10
115,70,10
115,9,3
115,34,2
115,47,6
115,59,5
115,5,6
115,7,1
115,33,7
115,15,5
115,77,3
116,25,9
116,17,5
116,10,9
117,6,5
117,85,7
117,20,2
117,32,8
117,67,9
117,65,1
117,18,6
117,75,5
117,19,2
117,46,8
117,48,5
117,87,5
117,96,10
117,55,4
117,43,6
117,49,7
117,37,4
117,8,10
118,77,8
118,80,6
118,99,5
118,94,5
118,104,4
118,74,5
118,67,5
118,5,5
119,60,7
119,39,7
119,22,9
119,56,7
119,64,1
119,45,5
119,18,5
119,12,2
119,5,4
119,30,5
119,91,10
119,53,2
119,67,1
119,71,4
119,8,7
119,88,2
120,45,10
120,58,4
120,11,5
120,22,6
120,31,3
120,49,7
120,64,10
120,104,3
120,73,8
120,62,9
120,78,3
120,15,6
120,39,1
120,75,7
121,103,8
121,33,6
121,70,1
121,21,9
121,78,10
121,37,1
121,24,1
121,2,5
121,53,9
121,27,9
121,14,1
121,83,9
121,5,10
122,26,9
122,42,8
122,31,10
122,79,1
122,5,3
122,14,10
122,80,6
122,66,5
122,68,9
122,100,7
122,91,9
122,97,7
122,53,7
122,44,6
123,41,4
123,36,8
123,46,6
123,43,4
123,70,5
124,62,5
125,52,2
125,61,5
125,87,6
125,46,3
125,44,7
125,104,5
126,83,2
126,100,1
126,9,3
126,78,8
126,55,2
126,12,3
126,76,9
126,1,9
126,60,4
126,69,7
126,37,4
126,66,3
126,90,2
126,77,2
127,13,5
127,25,3
127,54,6
127,102,8
127,74,7
127,76,2
127,71,1
127,59,8
127,5,9
127,30,7
128,39,10
128,16,5
128,19,3
128,90,5
128,61,6
128,20,8
128,82,10
128,100,7
128,32,1
128,71,8
128,4,10
129,80,8
129,64,8
129,45,7
129,65,4
130,17,5
130,60,8
130,31,5
130,87,8
130,20,5
130,56,8
130,75,2
130,32,3
130,61,6
130,10,7
130,51,3
130,95,2
130,99,9
130,88,6
130,49,1
130,12,9
130,79,7
130,92,9
130,89,3
130,43,10
131,2,6
131,20,5
131,25,7
131,31,6
131,16,10
131,93,6
131,76,4
131,77,10
131,90,1
131,42,5
131,69,2
131,94,10
131,28,1
131,59,4
131,53,9
131,37,2
132,27,6
132,90,10
132,5,6
132,81,4
132,16,10
132,86,8
132,93,9
132,22,2
132,103,9
132,67,5
132,99,2
132,50,9
132,48,10
132,72,3
132,70,10
132,36,4
132,23,7
133,46,5
133,10,8
133,79,3
133,61,8
133,93,5
133,28,6
133,99,8
133,11,4
133,71,4
133,12,9
133,16,4
133,77,5
133,39,6
133,49,3
133,1,3
134,8,9
134,87,10
134,14,3
134,75,8
134,89,3
134,55,9
134,88,4
134,91,7
135,96,7
136,97,4
136,33,4
136,92,3
136,22,10
136,76,1
136,99,10
136,3,2
136,77,10
136,83,10
136,11,2
136,18,5
136,8,6
136,56,7
136,102,4
136,67,5
137,91,2
137,88,5
137,72,7
137,54,3
137,90,3
137,95,8
138,21,6
138,59,10
138,91,9
138,98,4
138,37,7
139,93,10
139,86,2
139,38,1
139,22,5
139,64,7
140,84,3
140,58,10
140,68,3
140,62,6
140,83,10
140,25,3
140,74,9
140,11,10
140,65,1
140,92,4
140,76,10
140,102,10
140,98,4
140,50,2
141,93,8
141,60,6
141,3,1
141,53,6
141,21,2
141,12,8
141,47,10
141,37,8
141,90,3
141,89,4
141,2,10
141,97,9
141,22,9
141,48,3
141,75,9
141,70,3
141,80,2
141,69,5
142,96,4
142,29,6
143,104,7
143,52,7
143,71,6
143,80,8
143,86,5
143,92,9
143,40,8
143,70,10
143,49,2
143,83,10
143,22,5
143,8,4
144,57,4
144,87,6
144,77,4
144,19,8
144,37,8
